timestamp,symbol,action,price,rsi,qty,note
2025-12-14T13:23:14.959905+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:28:16.387009+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:33:17.480069+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:38:18.812642+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:43:20.033078+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:48:21.221490+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:53:22.267558+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T13:58:23.401598+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:03:24.472318+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:08:25.668791+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:13:27.037169+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:18:28.182343+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:23:29.279055+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:28:30.913963+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:33:32.184671+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:38:33.261122+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:43:34.383908+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:48:35.843091+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:53:37.099196+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T14:58:38.263726+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:03:39.397831+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:08:40.677237+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:13:41.816665+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:18:42.918697+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:23:44.002610+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:28:45.950987+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
2025-12-14T15:33:47.010007+00:00,TSLA,no_entry,457.3200,58.73,0,No entry: RSI 58.73 >= 25.0
